Day,Percent_positivity,Percent_positivity_7daysAvg,Calculated_MA
9/4/2020,15,,
10/4/2020,8,,
11/4/2020,11,,
12/4/2020,26,,
13/04/2020,12,,
14/04/2020,16,,
15/04/2020,17,,
16/04/2020,15,,
17/04/2020,11,,
18/04/2020,8,,
19/04/2020,13,,
20/04/2020,13,,
21/04/2020,9,,
22/04/2020,11,,
23/04/2020,11,,
24/04/2020,18,,
25/04/2020,13,,
26/04/2020,8,,
27/04/2020,13,,
28/04/2020,15,,
29/04/2020,17,,
30/04/2020,12,,
1/5/2020,9,,
2/5/2020,14,,
3/5/2020,14,,
4/5/2020,15,,
5/5/2020,11,,
6/5/2020,10,,
7/5/2020,11,,
8/5/2020,9,,
9/5/2020,7,,
10/5/2020,7,,
11/5/2020,9,,
12/5/2020,9,,
13/05/2020,13,,
14/05/2020,9,,
15/05/2020,8,,
16/05/2020,6,,
17/05/2020,6,,
18/05/2020,9,,
19/05/2020,4,,
20/05/2020,6,,
21/05/2020,5,,
22/05/2020,8,,
23/05/2020,5,,
24/05/2020,17,,
25/05/2020,20,9,
26/05/2020,12,10,
27/05/2020,10,11,
28/05/2020,8,11,
29/05/2020,6,11,
30/05/2020,12,12,
31/05/2020,13,,
1/6/2020,6,,
2/6/2020,4,,
3/6/2020,7,,
4/6/2020,13,,
5/6/2020,10,,
6/6/2020,14,,
7/6/2020,8,,
8/6/2020,14,,
9/6/2020,14,,
10/6/2020,15,,
11/6/2020,18,,
12/6/2020,15,,
13/06/2020,14,,
14/06/2020,14,  ,
15/06/2020,16,,
16/06/2020,19,,
17/06/2020,19,,
18/06/2020,16,,
19/06/2020,17,,
20/06/2020,19,,
21/06/2020,23,,
22/06/2020,22,,
23/06/2020,18,,
24/06/2020,20,,
25/06/2020,18,19,
26/06/2020,17,19,
27/06/2020,19,19,
28/06/2020,23,19,
29/06/2020,14,18,
30/06/2020,18,18,
1/7/2020,20,18,18.43
2/7/2020,17,18,18.29
3/7/2020,18,18,18.43
4/7/2020,24,19,19.14
5/7/2020,24,19,19.29
6/7/2020,19,20,20
7/7/2020,15,20,19.57
8/7/2020,14,19,18.71
9/7/2020,12,18,18
10/7/2020,14,18,17.43
11/7/2020,12,16,15.71
12/7/2020,24,16,15.71
13/07/2020,17,16,15.43
14/07/2020,14,15,15.29
15/07/2020,13,15,15.14
16/07/2020,16,16,15.71
17/07/2020,10,15,15.14
18/07/2020,12,15,15.14
19/07/2020,14,14,13.71
20/07/2020,13,13,13.14
21/07/2020,14,13,13.14
22/07/2020,11,13,12.86
23/07/2020,12,12,12.29
24/07/2020,14,13,12.86
25/07/2020,16,13,13.43
26/07/2020,12,13,13.14
27/07/2020,11,12,12.86
28/07/2020,12,12,12.57
29/07/2020,10,12,12.43
30/07/2020,10,12,12.14
31/07/2020,11,11,11.71
1/8/2020,14,11,11.43
2/8/2020,10,11,11.14
3/8/2020,12,11,11.29
4/8/2020,10,11,11
5/8/2020,11,11,11.14
6/8/2020,7,11,10.71
7/8/2020,9,11,10.43
8/8/2020,12,10,10.14
9/8/2020,13,11,10.57
10/8/2020,9,10,10.14
11/8/2020,9,10,10
12/8/2020,10,10,9.86
13/08/2020,9,10,10.14
14/08/2020,9,10,10.14
15/08/2020,10,10,9.86
16/08/2020,11,9,9.57
17/08/2020,9,9,9.57
18/08/2020,8,9,9.43
19/08/2020,9,9,9.29
20/08/2020,9,9,9.29
21/08/2020,6,9,8.86
22/08/2020,13,9,9.29
23/08/2020,11,9,9.29
24/08/2020,7,9,9
25/08/2020,7,9,8.86
26/08/2020,8,9,8.71
27/08/2020,9,9,8.71
28/08/2020,8,9,9
29/08/2020,11,9,8.71
30/08/2020,19,10,9.86
31/08/2020,6,10,9.71
1/9/2020,10,,10.14
2/9/2020,4,,9.57
3/9/2020,8,,9.43
4/9/2020,10,,9.71
5/9/2020,13,,10
6/9/2020,10,,8.71
7/9/2020,12,,9.57
8/9/2020,8,,9.29
9/9/2020,9,,10
10/9/2020,6,,9.71
11/9/2020,7,,9.29
12/9/2020,17,,9.86
13/09/2020,20,,11.29
14/09/2020,10,,11
15/09/2020,8,,11.14
16/09/2020,10,,
17/09/2020,6,,
18/09/2020,7,,
19/09/2020,13,,
20/09/2020,8,,
21/09/2020,8,,
22/09/2020,10,,
23/09/2020,10,,
24/09/2020,13,,
25/09/2020,7,,
26/09/2020,13,,
27/09/2020,16,,
28/09/2020,8,,
29/09/2020,13,,
30/09/2020,13,,
1/10/2020,8,,
2/10/2020,8,,
3/10/2020,12,,
4/10/2020,17,,
5/10/2020,10,,
6/10/2020,10,,
7/10/2020,11,,
8/10/2020,9,,
9/10/2020,11,,
10/10/2020,13,,
11/10/2020,19,,
12/10/2020,9,,
13/10/2020,12,,
14/10/2020,9,,
15/10/2020,9,,
16/10/2020,9,,
17/10/2020,15,,
18/10/2020,14,,
19/10/2020,10,,
20/10/2020,11,,
21/10/2020,13,,
22/10/2020,10,,
23/10/2020,10,,
24/10/2020,15,,
25/10/2020,13,,
26/10/2020,6,,
27/10/2020,9,,
28/10/2020,11,,
29/10/2020,12,,
30/10/2020,10,,
31/10/2020,14,,
1/11/2020,27,,
2/11/2020,11,,
3/11/2020,16,,
4/11/2020,15,,
5/11/2020,12,,
6/11/2020,11,,
7/11/2020,18,,
8/11/2020,17,,
9/11/2020,19,,
,,,
,,,
,,,
