date,driving,transit,walking
1/13/2020,100,100,100
1/14/2020,104.19,104.13,103.08
1/15/2020,104.19,106.09,107.59
1/16/2020,108.62,104.51,102.39
1/17/2020,125.17,117.84,137.45
1/18/2020,124.97,116.03,176.25
1/19/2020,85.01,91.33,100.6
1/20/2020,100.93,105.59,113.83
1/21/2020,104.14,107.58,106.74
1/22/2020,100.46,99.32,97.92
1/23/2020,107.23,112.77,113.5
1/24/2020,130.43,120.35,147.41
1/25/2020,127.62,121.22,172.94
1/26/2020,84.38,90.43,100.94
1/27/2020,102.06,107.3,102.85
1/28/2020,98.58,100.09,94.99
1/29/2020,99.31,98.66,100.16
1/30/2020,105.01,108.64,101.15
1/31/2020,124.49,116.66,133.27
2/1/2020,123.39,121.07,158.16
2/2/2020,80.89,84.8,93.96
2/3/2020,100.41,98.29,100.04
2/4/2020,100.9,95.12,96.61
2/5/2020,86.75,94.93,78.73
2/6/2020,106.01,109.14,102.7
2/7/2020,124.83,115.82,132.92
2/8/2020,125.02,118.37,169.7
2/9/2020,83.09,89.53,95.07
2/10/2020,99.98,99.91,92.88
2/11/2020,101.27,101.96,91.56
2/12/2020,106.19,100.12,96.11
2/13/2020,114.53,104.6,110.49
2/14/2020,141.04,127.81,158.5
2/15/2020,129.15,121.94,172.51
2/16/2020,95.53,103.17,118.53
2/17/2020,107.4,112.27,116.07
2/18/2020,106.39,115.66,98.96
2/19/2020,107.56,108.27,95.61
2/20/2020,113.45,112.62,118.25
2/21/2020,136.31,125.26,159.38
2/22/2020,137.62,129.33,186.58
2/23/2020,89.65,95.03,93.77
2/24/2020,106.94,107.64,105.5
2/25/2020,110.87,103.14,110.86
2/26/2020,113.76,106.96,108.91
2/27/2020,121.97,115.94,123.02
2/28/2020,142.68,129.58,156.03
2/29/2020,146.93,138.97,202.18
3/1/2020,99.71,102.95,121.61
3/2/2020,108.04,108.17,108.45
3/3/2020,113.79,109.07,115.39
3/4/2020,109.68,105.9,103.85
3/5/2020,123.67,112.96,128.96
3/6/2020,144.93,133.25,154.11
3/7/2020,137.17,135.33,171.59
3/8/2020,93.51,97.89,104.36
3/9/2020,107.93,107.77,114.35
3/10/2020,117.12,121.94,127.44
3/11/2020,115.79,116.84,125.68
3/12/2020,111.12,115.88,121.59
3/13/2020,109.31,95.53,118.43
3/14/2020,95.84,91.95,118.46
3/15/2020,68.06,65.29,73.62
3/16/2020,84.05,84.84,93.3
3/17/2020,77.73,73.68,87.58
3/18/2020,75.12,70.45,81.11
3/19/2020,71.47,72.75,79.68
3/20/2020,75.25,68.92,77.77
3/21/2020,63.13,59.63,73.26
3/22/2020,43.73,46.74,49.9
3/23/2020,59.74,59.35,68.53
3/24/2020,60.79,60.16,73.68
3/25/2020,54.51,54.2,65.74
3/26/2020,56.85,56.15,68.54
3/27/2020,63.76,62.99,72.19
3/28/2020,55.33,54.16,70.15
3/29/2020,42.41,45.18,52.63
3/30/2020,51.75,52.64,56.88
3/31/2020,58.37,55.44,68.71
4/1/2020,59.1,55.53,69.45
4/2/2020,57.61,50.56,66.87
4/3/2020,61.89,47.86,66.44
4/4/2020,50.6,45.9,54.58
4/5/2020,40.58,43.72,48.78
