,address,title,street_address,type,zipcode,lat,long
1,"5615 Forest Hill Drive ,Fort Worth TX 76119","Beal, Harlean",5615 Forest Hill Drive,Elementary,TX 76119,32.676928,-97.274967
2,"800 Mercedes ,Fort Worth TX 76126",Benbrook,800 Mercedes,Elementary,TX 76126,32.754498,-97.353513
3,"3504 Kimbo Road ,Fort Worth TX 76111","Brae, Bonnie",3504 Kimbo Road,Elementary,TX 76111,32.796740,-97.295680
4,"2751 Yuma Avenue ,Fort Worth TX 76104","Briscoe, Edward J.",2751 Yuma Avenue,Elementary,TX 76104,32.712101,-97.307182
5,"519 Burton Hill ,Fort Worth TX 76114",Burton Hill,519 Burton Hill,Elementary,TX 76114,32.750660,-97.408150
6,"3320 W. Cantey ,Fort Worth TX 76109",Alice Carlson Applied Learning Center,3320 W. Cantey,Elementary,TX 76109,32.712590,-97.364590
7,"1204 E. Broadus ,Fort Worth TX 76115",Carter Park,1204 E. Broadus,Elementary,TX 76115,32.682820,-97.311970
8,"3710 Deen Road ,Fort Worth TX 76106","Chavez, Cesar (PreK-5)",3710 Deen Road,Elementary,TX 76106,32.810401,-97.324320
9,"3300 S. Henderson ,Fort Worth TX 76110","Clarke, George C.",3300 S. Henderson,Elementary,TX 76110,32.702090,-97.338520
10,"2000 Park Place Ave ,Fort Worth TX 76110","Clayton, Lily B.",2000 Park Place,Elementary,TX 76110,32.727230,-97.348010
11,"4000 Horne ,Fort Worth TX 76107",Como,4000 Horne,Elementary,TX 76107,32.721203,-97.408983
12,"4001 Littlepage ,Fort Worth TX 76107",Como Montessori (K-8),4001 Littlepage,Elementary,TX 76107,32.721219,-97.410719
13,"4100 Lubbock Avenue ,Fort Worth TX 76115","Contreras, Alice D.",4100 Lubbock Avenue,Elementary,TX 76115,32.688146,-97.357066
14,"958 Page ,Fort Worth TX 76110","Daggett, E.M.",958 Page,Elementary,TX 76110,32.717300,-97.335251
15,"801 W. Jessamine ,Fort Worth TX 76110",Daggett Montessori (K-8),801 W. Jessamine,Elementary,TX 76110,32.718140,-97.332580
16,"4300 Campus Drive ,Fort Worth TX 76119","Davis, Clifford",4300 Campus Drive,Elementary,TX 76119,32.685647,-97.296810
17,"1419 College ,Fort Worth TX 76104",De Zavala,1419 College,Elementary,TX 76104,32.753177,-97.332746
18,"2000 Dewey Street ,Fort Worth TX 76106",Diamond Hill,2000 Dewey Street,Elementary,TX 76106,32.797339,-97.330769
19,"4000 Avenue N ,Fort Worth TX 76105","Dillow, S.S.",4000 Avenue N,Elementary,TX 76105,32.722580,-97.265269
20,"2617 Mims ,Fort Worth TX 76112",East Handley,2617 Mims,Elementary,TX 76112,32.741421,-97.207292
21,"5917 Shelton ,Fort Worth TX 76112",Eastern Hills,5917 Shelton,Elementary,TX 76112,32.749289,-97.229122
22,"2501 Cooks Lane ,Fort Worth TX 76120","Elliott, Bill J.",2501 Cooks Lane,Elementary,TX 76120,32.742179,-97.181108
23,"215 N.E. 14th Street ,Fort Worth TX 76164","Ellis, M.G. Primary (PreK-K)",215 N.E. 14th Street,Elementary,TX 76164,32.748808,-97.325923
24,"3601 Pecos ,Fort Worth TX 76119",Glen Park,3601 Pecos,Elementary,TX 76119,32.689163,-97.270816
25,"4612 David Strickland Road ,Fort Worth TX 76119","Green, W.M.",4612 David Strickland Road,Elementary,TX 76119,32.681022,-97.252520
26,"1605 Grady Lee ,Fort Worth TX 76134",Greenbriar,1605 Grady Lee,Elementary,TX 76134,32.663140,-97.344375
27,"3524 N. Crump ,Fort Worth TX 76106","Helbing, H.V.",3524 N. Crump,Elementary,TX 76106,32.807700,-97.342270
28,"1324 Kings Highway ,Fort Worth TX 76117","Howell, Natha",1324 Kings Highway,Elementary,TX 76117,32.780694,-97.286726
29,"1333 W. Spurgeon ,Fort Worth TX 76115",Hubbard Heights,1333 W. Spurgeon,Elementary,TX 76115,32.678040,-97.339740
30,"3309 Long Avenue ,Fort Worth TX 76106","Huerta, Dolores",3309 Long Avenue,Elementary,TX 76106,32.789461,-97.386971
31,"2100 Lincoln ,Fort Worth TX 76164","Jara, Manuel",2100 Lincoln,Elementary,TX 76164,32.783462,-97.357858
32,"3229 Lincoln ,Fort Worth TX 76106","Kirkpatrick, Milton L.",3229 Lincoln,Elementary,TX 76106,32.804010,-97.361479
33,"2300 Dillard ,Fort Worth TX 76105","Logan, Maude I.",2300 Dillard,Elementary,TX 76105,32.722515,-97.243828
34,"7600 Lowery Road ,Fort Worth TX 76120",Lowery Road,7600 Lowery Road,Elementary,TX 76120,32.770681,-97.186685
35,"1850 Barron Lane ,Fort Worth TX 76112","McDonald, Atwood",1850 Barron Lane,Elementary,TX 76112,32.750975,-97.208751
36,"3316 Avenue N ,Fort Worth TX 76105","McRae, D.",3316 Avenue N,Elementary,TX 76105,32.723086,-97.278108
37,"4330 Meadowbrook Dr. ,Fort Worth TX 76103",Meadowbrook,4330 Meadowbrook Dr.,Elementary,TX 76103,32.744560,-97.259276
38,"1412 Denver ,Fort Worth TX 76164","Mendoza, Rufi no",1412 Denver,Elementary,TX 76164,32.774075,-97.354300
39,"7325 Kermit ,Fort Worth TX 76116","Merrett, Luella",7325 Kermit,Elementary,TX 76116,32.713321,-97.443480
40,"3601 Mitchell ,Fort Worth TX 76105",Mitchell Boulevard,3601 Mitchell,Elementary,TX 76105,32.709476,-97.287990
41,"1809 N.E. 36th ,Fort Worth TX 76106","Moore, M.H.",1809 N.E. 36th,Elementary,TX 76106,32.811150,-97.333290
42,"2601 Evans ,Fort Worth TX 76104",Morningside,2601 Evans,Elementary,TX 76104,32.714323,-97.317110
