state,county,date,retail.and.recreation,grocery.and.pharmacy,parks,transit.stations,workplaces,residential,Apple_driving,Apple_transit,Apple_walking,Google_grocery_7d_Avg,Google_park_7d_Avg,Apple_driving_7d_Avg,Apple_transit_7d_Avg,Apple_walking_7d_Avg
Texas,Tarrant County,2/15/2020,1,1,11,1,2,-1,129.15,121.94,172.51,,,,,
Texas,Tarrant County,2/16/2020,10,3,48,-3,1,-1,95.53,103.17,118.53,,,,,
Texas,Tarrant County,2/17/2020,8,2,50,2,-18,4,107.4,112.27,116.07,,,,,
Texas,Tarrant County,2/18/2020,-3,-2,-6,13,1,1,106.39,115.66,98.96,,,,,
Texas,Tarrant County,2/19/2020,-2,-1,-9,6,3,1,107.56,108.27,95.61,,,,,
Texas,Tarrant County,2/20/2020,2,1,4,1,1,0,113.45,112.62,118.25,,,,,
Texas,Tarrant County,2/21/2020,2,0,3,2,4,-2,136.31,125.26,159.38,0.57,14.43,113.68,114.17,125.62
Texas,Tarrant County,2/22/2020,3,0,11,2,4,-1,137.62,129.33,186.58,0.43,14.43,114.89,115.23,127.63
Texas,Tarrant County,2/23/2020,2,-1,-25,-1,2,0,89.65,95.03,93.77,-0.14,4.00,114.05,114.06,124.09
Texas,Tarrant County,2/24/2020,2,1,14,3,5,-1,106.94,107.64,105.5,-0.29,-1.14,113.99,113.40,122.58
Texas,Tarrant County,2/25/2020,5,1,25,7,3,-1,110.87,103.14,110.86,0.14,3.29,114.63,111.61,124.28
Texas,Tarrant County,2/26/2020,10,7,12,7,4,-2,113.76,106.96,108.91,1.29,6.29,115.51,111.43,126.18
Texas,Tarrant County,2/27/2020,10,7,39,7,2,-2,121.97,115.94,123.02,2.14,11.29,116.73,111.90,126.86
Texas,Tarrant County,2/28/2020,9,6,39,5,5,-4,142.68,129.58,156.03,3.00,16.43,117.64,112.52,126.38
Texas,Tarrant County,2/29/2020,11,7,49,5,4,-3,146.93,138.97,202.18,4.00,21.86,118.97,113.89,128.61
Texas,Tarrant County,3/1/2020,16,9,32,-1,3,-2,99.71,102.95,121.61,5.43,30.00,120.41,115.03,132.59
Texas,Tarrant County,3/2/2020,8,6,9,2,5,-2,108.04,108.17,108.45,6.14,29.29,120.57,115.10,133.01
